3011,izrak,Ishraq Huda,1,1811
2686,scott_wu,Scott Wu,1,2669
5059,xyz111,Yinzhan Xu,1,2287
3088,KAN,Nikolay Kalinin,4,2648
5020,abyssmall,Oliver Fisher,5,1940
3113,stevenkplus,Steven Hao,6,2388
5058,Leoyu,Dingli Yu,7,1765
5061,dhh1995,Honghua Dong,7,2268
5060,sy2006,Yang Shen,9,2404
3078,Enchom,Encho Mishinev,10,1949
2759,svanidz1,Nikoloz Svanidze,10,2038
3112,AstroConjecture,Joshua Brakensiek,12,2249
5218,betaveros,Po-En Chen,13,2231
3061,Diego9627,Diego Alonso Roque Montoya,14,1691
5053,zxqfl,Jacob Jackson,15,1899
3063,akshatb,Akshat Bubna,16,1851
5240,ecnerwal,Andrew He,16,2276
5103,alex-mercer,MohammadAmin Khashkhashi Moghaddam,16,1919
5116,yutaka1999,Yuta Takaya,16,2265
2688,rares.buhai,Rareș Darius Buhai,20,2152
5130,cubelover,Jeehak Yoon,21,2076
5222,None,Theemathas Chirananthavat,22,0
5192,Umqra,Nikita Sivukhin,23,2243
5105,persianpars,AmirMohsen Ahanchi Markaz,24,1992
5088,None,Felix Bauckholt,24,0
2707,mustrumr,Hristo Venev,24,1690
5183,rudy102,Jarosław Kwiecień,24,1739
5194,None,Jiahai Feng,24,0
5221,Phoom,Phoomraphee Luenam,24,1808
2731,None,Ranald Yun Shao Lam,24,0
3118,gs12117,Seokhwan Choi,24,2273
5091,master_miu,Ting Fung Lau,24,2235
2964,Alex_2oo8,Aleksejs Zajakins,33,2527
2678,baklazan,Eduard Batmendijn,34,2150
5098,a06,Malvika Raj Joshi,34,1516
2735,gendelpiekel,Michael Chen,36,1765
5132,ainta,Sunghyeon Jo,37,2336
5217,qazwsxedcrfvtg14,Yi Chou,38,1901
2749,jsannemo,Johan Sannemo,39,1833
5119,HIR180,Hirotaka Isa,40,2127
2768,None,Ohad Klein,40,0
5219,johnchen902,Po-Chang Chen,40,2037
5216,tzupengwang,Tzu-Peng Wang,40,1956
5246,ig_dug,Quang Dung Nguyen,44,2126
3218,None,Kwang Hui Mark Theng,45,0
5118,catupper,Ken Ogura,46,2071
5104,Mojtaba-FayazBakhsh,Mojtaba FayazBakhsh,46,1709
3004,sbasrik,Semih Basrık,48,1969
2991,didins,Dimitrije Erdeljan,49,1787
5190,plus2CircletOfNobility,Alexandru Velea,51,2312
2993,MeinKraft,Marko Stanković,51,2218
3045,alex20030190,Kam Chuen Tung,53,2083
3077,momo_vn,Momchil Peychev,54,2063
3090,zemen,Konstantin Semenov,55,2475
5184,glapul,Michał Glapa,55,1979
5195,None,Bui Truc Lam,57,0
3053,a_h1926,Andrei Heidelbacher,58,2072
3039,mislav,Mislav Balunović,58,2022
2718,None,Dominik Gleich,60,0
3094,zscefn,Kalle Luopajärvi,60,1913
3006,Scorpy,Ilya Shevchenko,62,1928
5196,None,Mário Lipovský,63,0
5191,dragonic,Nikita Uvarov,64,2256
2771,Scintillo,Sami Kalliomäki,64,1887
5125,Miras321,Miras Myrzakerey,66,1842
5102,Beranabus,Elyad Ramezani,67,1892
5045,arthur.nascimento,Arthur Ferreira do Nascimento,68,1823
2738,bojan.serafimov,Bojan Serafimov,68,1748
5047,m_bezrutchka,Mateus Bezrutchka,68,1692
5213,kingofnumbers,Hasan Jaddouh,71,1989
3010,AntiForest,Ray Li,73,1754
5247,nhap96,Hoang Anh Phuc Ngo,74,1960
5228,eminayar,Muhammed Emin Ayar,74,1808
5113,fram,Francesco Milizia,76,1744
3220,None,Vid Kocijan,76,0
5141,kristapuciitis,Kristaps Čivkulis,78,1864
5068,fabik,Jan-Sebastian Fabík,79,1737
5017,Mushegh,Mushegh Shahinyan,79,1612
5046,arthurpd,Arthur Pratti Dadalto,81,1669
5028,netman,Aliaksei Vistiazh,82,2010
3100,oml1111,Oliver-Matis Lill,82,2091
5127,Algiz,Ulugbek Adilbekov,82,1896
3001,pichayut,Pichayut Liamthong,85,1772
5145,None,Mantas Pajarskas,86,0
2741,ondrah,Ondřej Hübsch,86,1858
3177,gdisastery,Gary Ye,88,1717
5186,None,Stanisław Barzowski,88,0
5126,Daniyar_7,Daniyar Maminov,90,1950
5084,emachaidze,Elene Machaidze,90,1734
3206,None,Vasil Kuzevski,90,0
2315,None,Tom Kalvari,93,0
3087,None,Aron Granberg,94,0
3165,howsiwei,Si Wei How,95,1715
3000,toppykung,Krittisak Chaiyakul,96,1817
1575,gheorghemihai,Mihai-Dan Gheorghe,96,2071
5029,kuskova,Barbara Kuskova,98,1890
5227,enesoncu,Abdullah Enes Öncü,99,2005
3047,hohomu,Lik Hang Poon,99,1433
5087,None,Manuel Gundlach,99,0
3014,m.raszyk,Martin Raszyk,99,2057
2711,jasonyik,Wai Pan Yik,99,1744
5248,VVan,Xuan Viet Do,99,2289
5095,None,Kristóf Somogyvári,105,0
5236,NegaTeef,Mykhailo Babenko,105,1996
5019,Tiko,Tigran Galstyan,105,1555
5052,FatalEagle,Yikuan Li,105,1849
5245,kien_coi_1997,Tien Trung Kien Nguyen,109,2169
5159,HappyPerson,Jordan Fernando Alexander,110,1828
5197,kabell,Michal Korbela,111,1868
3041,mislav_bradac,Mislav Bradač,112,2010
5031,dimad,Dzmitry Dzemidka,113,1725
2702,ivan100sic,Ivan Stošić,113,2112
5181,None,Johan Sokrates Wind,115,0
5185,asterius,Albert Citko,116,1725
5101,raditya1710,Alfonsus Raditya Arsadjaja,117,1798
5082,Cheikdav,David Cheikhi,118,1447
2784,None,Kliment Serafimov,119,0
5099,rais.fathin38,Muhammad Rais Fathin Mudzakir,119,1792
5238,None,Ralph Linden,119,0
2763,pat3ik,Patrik Zajec,122,1981
5201,None,Ulrik De Muelenaere,122,0
5050,zzh8829,Zihao Zhang,122,1550
2890,rptynan,Richard Tynan,125,1520
5080,md5_84,Lucas Pesenti,126,1789
3079,None,Ron Ryvchin,127,0
3167,None,Yun Kai Lim,127,0
3196,None,Domantas Jadenkus,129,0
3062,dtalamas24,Daniel Talamas Cano,130,1766
3093,Hennkka,Henrik Lievonen,130,1701
5086,None,Gregor Matl,132,0
5085,None,Philip Wellnitz,133,0
5131,None,Changsu Lee,134,0
5083,gskhirtladze,Georgy Skhirtladze,135,1856
5100,kadalijo,Zamil Majdy,135,1796
2975,michelzel,Michel Rozenberg Zelazny,137,1462
5229,halilozanakgul,Halil Ozan Akgül,138,1871
2796,None,Dimitrios Los,139,0
5209,Xylofo,Joakim Blikstad,139,1500
3230,smbe19,Benjamin Schmid,141,1651
5117,joisino,Ryoma Sato,142,1608
5022,fleimgruber,Florian Leimgruber,143,1727
3055,zeulb,Stefano Chiesa Suryanto,143,2163
5234,seland,Andrii Selivanov,145,1879
5111,None,Nir Yaron,145,0
5205,None,Enric Boix Adsera,147,0
5018,sparik,Sparik Hayrapetyan,147,1865
2795,None,Alan Ansell,149,0
5090,mentalist,Aristofanis Rontogiannis,149,1678
2420,None,Victor Ciuntu,151,0
3018,None,Jorn Rowan Hoofwijk,152,0
5232,bayram,Bayram Berdiyev,154,1653
5030,Fedosik,Fedar Karabeinikau,154,1802
5097,pushkarmishra,Pushkar Mishra,154,1599
5166,Enkhsanaa,Enkhsanaa Natsagdorj,157,1471
2858,None,Andrej Ivašković,158,0
3178,peto159,Peter Ralbovsky,159,1413
2853,michael10024,Michalis Psalios,161,1692
3116,NurlashKO,Nurlan Zhussipov,162,1998
5079,rigauxt,Tomas Rigaux,162,1702
5051,Kuroba,Yi Xiao Zhang,164,1692
2998,Ximera,Mekhrubon Turaev,165,1740
2969,Labib666,Labib Md. Rashid,166,1717
1697,nikanick11,Nika Nadiradze,166,1566
5074,Andres_Unt,Andres Unt,168,1808
5063,tonkosi,Tonko Sabolčec,169,1679
3228,None,Fabian Lyck,170,0
2973,rmumi,Rijad Muminović,171,1753
2816,abdukodir,Abduqodiri Qurbonzoda,172,1829
5115,None,Gaspare Ferraro,172,0
5096,Emarci15,Márton Erdős,174,1500
5180,None,Fredrik Østrem,175,0
