5116,yutaka1999,Yuta Takaya,1,2893
6188,xumingkuan,Mingkuan Xu,2,2241
6410,c_sunshine,Zhezheng Luo,3,2427
5940,maroon_kuri,Riku Kawasaki,4,1677
6261,None,Satoru Kawaharai,5,0
5794,None,Joseph Benton,6,0
3078,Enchom,Encho Mishinev,7,2304
6044,arsijo,Anton Tsypko,8,2423
6224,None,Lukas Michel,9,0
5839,gongy,Richard Gong,10,2409
6336,fanache99,Ștefan Constantin-Buliga,11,2085
6330,mariusz1,Mariusz Trela,12,2443
6185,--d,Jason Yuen,13,2554
6233,None,Attila Gáspár,14,0
6337,tamionv,Tamio-Vesa Nakajima,15,1914
6333,tlwpdus,Jeyoun Si,16,2210
6182,imaxblue,Brian Chau,17,2036
6247,narenji58,Seyed Mohammad Hossein Nematollahi,18,2493
6340,voidmax,Vladimir Romanov,19,2516
5571,f.bialas,Filip Bialas,20,2134
6372,mark31408a,Chung-Yao Cheng,21,1713
5523,jerry,Jerry Mao,22,2314
6327,FCB1234,Anadi Agrawal,23,2188
5862,Pedrohso,Pedro Henrique Sacramento de Oliveira,24,1766
6190,eds467,Zhixian Zhong,25,2514
6055,YouAreMyPrettySunshine,Tuan Le Quang,26,2031
6341,denisson,Denis Shpakovskii,27,2060
6253,None,Yuval Salant,28,0
5911,ulna,Yik Chun Wong,28,2115
5758,aitch,David Wärn,29,2460
5929,Reyna,Arash Mahmoudian Bidgoli,30,2759
6256,None,Jacopo Chen,31,0
6329,stasio6,Stanisław Strzelecki,32,1748
6187,matthew99,Xiao Mao,33,2828
6243,None,Ali Ahmadi,None,0
6012,zhangguangxuan99,Guangxuan Zhang,34,2376
5704,robinyu,Robin Christopher Yu,35,2321
5740,pwypeanut,Wen Yuen Pang,36,2316
6373,briansu,Po-Hsuan Su,37,1906
6339,egor.lifar,Egor Lifar,38,2255
6408,None,Thomas Read,39,0
6332,dh_k_9949,Donghyun Kim,40,2070
5916,None,Péter Mernyei,41,0
5859,Arthur,Artur Petukhouski,42,2369
6194,jklepec,Josip Klepec,43,1961
5593,octopuses,Giorgi Kldiashvili,44,2092
6374,wangyenjen,Yen-Jen Wang,45,2012
6363,arvid220u,Arvid Lunnemark,46,1624
6220,saba2000,Nikoloz Birkadze,47,2137
5654,None,Hou Tin Chau,48,0
6248,sasa,Mohammad Saneian,49,2271
6375,adrien1018,Sheng-Fu Wu,50,2107
6165,gepardo,Aliaksandr Kernazhytski,51,2314
6244,amiraz,Amir Azarmehr,None,2069
6246,neobit,Hamidreza Hedayati,52,2159
6257,Ciuffo,Fabio Pruneri,53,1520
5884,None,Marian Dietz,54,0
6255,lukecavabarrett,Luca Cavalleri,55,1690
6393,None,Atacan İyidoğan,56,0
6262,keiyasakabe,Keiya Sakabe,57,1945
5942,MadNick,Nurbakyt Madibek,58,2298
3085,AnPelec,Angelos Pelecanos,59,1966
6152,None,Charles Jameson,60,0
6403,stastomash,Stanislav Tomash,61,1992
6384,None,Arun Wongprommoon,62,0
6008,demon1999,Alexandra Drozdova,63,2310
6230,percywtc,Tsz Chun Wong,64,2153
5968,I_Love_Tina,Gabriel Cojocaru,65,2285
5933,None,Ron Solan,66,0
6245,IMAN_GH,Iman Gholami,None,2331
6348,None,Li Lim,66,0
6189,jiaqiyang,Jiaqi Yang,67,2671
5951,WilliamGyuhoSuh,William Gyuho Suh,68,1915
5881,RiHl,Richard Hladík,69,1881
6193,jkelava6,Josip Kelava,70,1966
5920,sergiovieri,Sergio Vieri,71,1756
5914,vilim_l,Vilim Lendvaj,72,1922
6249,Ali.sh,Ali Shafiee,None,2133
6402,kilt_01,Illya Koval,73,1918
6211,majakas,Taavet Kalda,74,1960
6219,etiennerossignol,Etienne Rossignol,75,1813
5936,cip999,Andrea Ciprietti,76,2034
5081,Arturgo,Arthur Léonard,77,2133
6164,kefaa,Kiryl Hulin,78,2276
6229,gamegame,Harris Leung,79,2010
3178,peto159,Peter Ralbovsky,80,1869
5623,None,Aviel Boag,81,0
6416,abcdef6199,Lam Nguyen Hy Hoai,81,1993
6056,natsukagami,Nguyen Pham Cao,82,2020
5977,zscoder,Zi Song Yeoh,83,2462
5851,Bruteforceman,Tasmeem Reza,84,2105
6237,sidhant,Sidhant Bansal,85,2071
5736,zDule98,Dušan Živanović,86,1907
5140,Ingugugus,Ingus Jānis Pretkalniņš,87,1707
6346,filipvesovic,Filip Vesović,88,2049
6003,geniucos,Costin-Andrei Oncescu,89,2477
6234,None,Orsolya Lili Janzer,90,0
5922,srijonm,Srijon Mukherjee,91,1500
5664,Juanito98,Juan Carlos Sigler Priego,92,2002
6383,zoomswk,Pasapol Saowakon,93,2286
5941,sancho,Sanzhar Bidaibek,94,2231
6240,yehezkiel,Yehezkiel Raymundo Theodoroes,95,1814
6382,GoogleBot,Phawin Prongpaophan,96,2088
6354,None,David Broodryk,97,0
6407,None,Neel Nanda,98,0
6241,stevenwjy,Steven Wijaya,99,1749
5923,sampriti,Sampriti Panda,100,1949
5030,Fedosik,Fedar Karabeinikau,101,2173
5898,Kuha,Juha Harviainen,102,2100
6409,None,Euan Tebbutt,103,0
6017,paulinia,Paulína Smolárová,104,1951
3219,None,Žiga Željko,105,0
6148,Xagak,Khazhak Galstyan,106,1965
6213,thuustalu,Tähvend Uustalu,107,1960
6269,i_love_margot_robbie,Askhat Zhalgasov,108,2235
5750,None,Mohammed Yaseen Mowzer,109,0
5998,robly18,Duarte Nascimento,110,1500
5948,bktl4ever,Amangeldi Zhusubaliev,111,1909
5854,None,Azur Đonlagić,112,0
5850,Alpha_Q,Jubayer Rahman,113,2079
6276,Gediminas,Gediminas Lelešius,114,1917
5919,Klungs,Lung Sin Kwee,115,1926
6361,fredrik.w.ekholm,Fredrik Ekholm,116,1739
6381,None,Rutchathon Chairattana-apirom,117,0
6294,Rudy358,Alexandru Rudi,118,1868
6201,None,Alice Ryhl,119,0
6183,tailz,Leo Feng,120,2178
6282,filipmihov,Filip Mihov,121,1537
6362,herkarlsson,Herman Karlsson,122,1774
5592,webalorn,Théophane Vallaeys,123,1751
5845,BrunoPloumhans,Bruno Ploumhans,124,1701
6236,bennikartefla,Bernhard Linn Hilmarsson,125,1649
6180,viktor_terziev,Viktor Terziev,126,1909
6345,tomcilo,Momčilo Topalović,127,1621
6214,siiri,Siiri Kuoppala,128,1845
