2495,None,Weidong Hu,1,0
2587,None,Yuan Zhou,1,0
2601,None,Yuriy Znovyak,1,0
1094,None,Jee Hoon Kang,5,0
1557,None,Michal Burger,6,0
1526,None,Mehdi Bouaziz,9,0
1894,None,Puthikorn Voravootivat,10,0
2089,burunduk1,Sergey Kopeliovich,10,1500
1053,None,Jakub Závodný,15,0
1962,None,Richard McCutchen,16,0
1964,rpeng,Richard Peng,17,1500
2614,None,Zeyuan Zhu,19,0
2391,None,Vahe Musoyan,20,0
1141,None,John Pardon,21,0
1840,None,Peter Perešíni,24,0
1474,None,Martin Orr,25,0
2222,None,Svetoslav Kolev,26,0
1312,None,Laur Tooming,29,0
1363,None,Luca Barbieri,29,0
1394,None,Mahdi Safarnejad-Boroujeni,31,0
2006,None,Rostislav Rumenov,32,0
1453,None,Mark Thompson,34,0
1779,None,Pathompol Saeng Uraiporn,36,0
1151,None,Jonathan Mosheiff,39,0
2208,None,Sukolsak Sakshuwong,39,0
2593,None,Yu-Fan Ho,39,0
2405,None,Vasil Lyutskanov,42,0
2332,tomekkulczynski,Tomasz Kulczyński,44,1500
2273,bwps,Thomas Fersch,45,1500
1024,None,Jaan Vajakas,46,0
1610,None,Mircea-Bogdan Pasoi,47,0
1863,None,Philipp Krähenbühl,48,0
2436,None,Ville Pettersson,49,0
1673,None,Nguyen Bich Hoang Anh,52,0
1294,None,Kshitij Bansal,54,0
1732,None,Oļegs Urziks,55,0
2373,None,Uladzimir Miniailau,55,0
2553,None,Yehonatan Rozenshein,61,0
2156,None,Simon Parent,62,0
1037,None,Jacques-Henri Jourdan,66,0
1627,None,Mohammad Mahini,68,0
2162,None,Sin-man Choi,70,0
2157,None,Simon Schuler,72,0
1413,None,Marcell Stippinger,73,0
2170,None,Sonny Budiman Sasaka,73,0
1906,None,Radu Marin,80,0
2597,None,Yun Dong Yeo,81,0
1344,None,Lik Yau Yip,83,0
1205,None,Ka Cheong Lui,86,0
2555,None,Yerlan Bissenov,88,0
1893,None,Preyas Popat,90,0
2643,None,Zviad Metreveli,91,0
1932,None,Raphael Henrique Ribas,92,0
2476,None,Vytis Banaitis,93,0
1857,None,Pham Hai Minh,95,0
2304,None,Timur Abishev,97,0
2202,None,Stevan Jončić,98,0
1606,None,Ming-lam Leung,101,0
2470,None,Volodymyr Kozhayev,101,0
1726,None,Oğuz Kaya,103,0
2082,None,Sergejs Beļajevs,105,0
1374,None,Luis Enrique Vargas Azcona,108,0
1899,None,Qiyu Zhu,109,0
1674,None,Nguyen Duc Dung,111,0
1746,None,Ondřej Bílka,112,0
1631,None,Mohammad-Amin Sadeghi,115,0
1958,None,Ricardo Martin,117,0
1589,None,Mikita Lesnikau,118,0
2303,None,Timothy Stranex,122,0
1514,None,Mattias Linnap,124,0
1976,None,Robert R. Enderlein,124,0
1841,None,Peter Poier,128,0
2372,None,Uladzimir Kerus,131,0
1653,None,Nam Lei,132,0
2146,None,Simion Filip,137,0
2197,None,Stéphane Caron,137,0
712,None,Eric Price,1,0
219,None,Andriy Grynenko,7,0
110,None,Alex Schwendner,8,0
768,None,Filip Wolski,10,0
748,None,Fan Long,13,0
162,None,Amitay Kamber,14,0
166,None,Anak Yodpinyanee,18,0
775,None,František Simančík,22,0
928,None,Hoo Yeon Lee,22,0
552,None,Danylo Mysak,27,0
560,None,Daumilas Ardickas,28,0
119,None,Alexander Yurev,32,0
485,None,Chun-Ta Lin,35,0
548,None,Dan-Ionut Fechete,36,0
107,None,Alessio Guerrieri,42,0
213,None,Andrian Kurniady,50,0
339,None,Benjamin Franz,51,0
597,None,Davor Prugovecki,53,0
538,None,Daniel Rodríguez Sánchez,55,0
611,None,Derianto Kusuma,58,0
484,None,Chun-Sung Ferng,59,0
326,None,Bauke Conijn,60,0
120,None,Alexandra Zykova,62,0
312,None,Balázs Kormányos,64,0
980,None,Igors Stepanovs,65,0
889,None,Harpreet Singh,67,0
798,None,Gang Won Jo,68,0
151,None,Alvin Abdagić,71,0
227,None,Angel Dzhigarov,75,0
546,None,Daniel-Vasile Pasaila,76,0
655,None,Dorjnamjil Chandmani,77,0
138,None,Ali Malekzadeh,78,0
420,None,Chen Xing,79,0
534,None,Daniel Marek,82,0
756,None,Felix Arends,84,0
970,None,Ignat Meldin,87,0
291,None,Asger Cronberg Ipsen,88,0
614,None,Diego Andrés Vizia,94,0
976,None,Igor Kabiljo,96,0
822,None,Gergely Tassy,98,0
572,None,David Cuéllar Morales,100,0
515,None,Dang Hoang Vu,103,0
274,None,Arnold Joseph Noronha,105,0
880,None,Hamza Fawzi,107,0
975,None,Igor Goroshko,110,0
311,None,Bakhytzhan Baizhikenov,113,0
144,None,Aliaksei Labanau,114,0
183,None,André Slepetys,116,0
473,None,Foo Chuan Yu,119,0
936,None,Hsin-Hao Su,121,0
357,None,Bojan Bašić,122,0
717,None,Erik Panzer,126,0
823,None,Gerhard Niederbrucker,126,0
523,None,Daniel Czajka,128,0
296,None,Atamyrat Hezretkuliyew,130,0
835,None,Giorgi Nadiradze,132,0
836,None,Giorgio Audrito,132,0
112,None,Alexander Davies,135,0
429,chethiya,Chethiya Abeysinghe,136,1500
29,None,Adam Gawarkiewicz,36,0
70,None,Aidin Kashigar,85,0
77,None,Ákos Ludányi,120,0
